变形客户号,加密后手机号,批次号,券类型编号,券数量
00000000FBE211DD162F4DF089F70633A10192B7,721bdd7c7313d5f6d43ea634c0078215a92d52fcb9fcf6f97e527d21e265fdb8,V-20210917-01,2021091822,1
00000000AF0E73CC65DA44C6953FE7EA201F0173,e7a86ae0c70524a99fdd8ba6a6030773615f344ea0812ed5c7d7dd2f948ac47b,V-20210917-01,2021091822,1
0000000036E1CF470A554436A32EEBBBC3CD2741,0af6123624662892bd62fc447daf855a1b159a7818f4bfe6f3375422d2c743f9,V-20210917-01,2021091822,1
50800B1B7B430D00E16530912B995DE15FEDA49E,e4f18336e1b4d79afad1904a76293e00730836709aa2ed78deb5479ce220c923,V-20210917-01,2021091822,1
00000000C989B31198F24FF4A2293AB1688D6AE5,e134c7458ecd07056b096a0a9fff6b1f01d0863f30f5c87a51f8c02730eb9d31,V-20210917-01,2021091822,1
00000000309705A2970642DF87CCD5ABB35ED13C,79342175083d673e915ca92d13175516bb4af0d923f63b525de2e591965722f2,V-20210917-01,2021091822,1
000000005D1EBDAF6A384E4ABEC7B0A6940E7818,981cf34adbc0b408e048694e6101706cbd794b927bc9a0e1da21a5c6ad42bd6b,V-20210917-01,2021091822,1
000000009911A71DD5F54545AAE24354D5DB1752,496ed6d2aee660092022a1ea1ee0c64d1ded81f1bd810b3088fa7135cc13e695,V-20210917-01,2021091822,1
00000000078B6C31FEB249AE8D893CC945AA50B6,6b6ce872f08902eacb9443282581e475a2a290a289d02d6952034d53eb17c6be,V-20210917-01,2021091822,1
0000000096C78EC5423047BC9F5F7D743FE6984B,0bd7d10f2b27670fee51ac8967ca1c2233e709a1a2d9d5bfd5e51ed3691ae1af,V-20210917-01,2021091822,1
00000000AAD550C07D5E43C393907D845B95C97F,353e14bffb6c1e3e5c4ddd0b2864d56036f6097e3297e5b770701e0b87f8a4a9,V-20210917-01,2021091822,1
00000000133E519FF98B4EDD81AB406D27697014,8aa2cdcb2fb0703b29ab58861bd280c409160656dffe76f03842c355f5de431d,V-20210917-01,2021091822,1
0000000004315A854A9941EFA1AFA8D5D10F2729,190428bc5a37644e1cb7780d4344eea2898da38fe0da59604299d5d0e1400e15,V-20210917-01,2021091822,1
